id,title,release_date,overview,vote_average,vote_count,popularity,original_language
401891,Rossini: La Donna del Lago,2015-03-14,"An all-star cast assembled for the Met’s first-ever performances of Rossini’s romantic retelling of Sir Walter Scott’s epic poem The Lady of the Lake. Joyce DiDonato is Elena, the title heroine, who is being pursued by not one, but two tenors—setting off sensational vocal fireworks. Juan Diego Flórez is King James V of Scotland, disguised as the humble Uberto, and John Osborn sings his political enemy, and rival in love, Rodrigo Di Dhu. Complicating matters is the fact that Elena herself loves Malcolm, a trouser role sung by mezzo-soprano Daniela Barcellona, and that she is the daughter of Duglas (Oren Gradus), another of the king’s political adversaries. Paul Curran’s atmospheric production is conducted by Michele Mariotti.",7.8,3,0.1228,it
244752,The Colours of My Father: A Portrait of Sam Borenstein,1992-01-01,"The Colours of My Father: A Portrait of Sam Borenstein is a 1992 short animated documentary directed by Joyce Borenstein about her father, the Canadian painter Sam Borenstein. It was nominated for an Academy Award for Best Documentary Short. In Canada, it was named best short documentary at the 12th Genie Awards.",6.5,6,0.0239,en
188120,Song Service,1930-10-24,Lee Morse sings us a few songs.... Lee arrives at a film studio to discuss her participation. However the studio is ready for rehearsal and Lee performs a couple of songs in different settings.,10.0,1,0.1079,en
332022,Sesame Street: Elmo Says BOO!,1997-07-08,"Look who's come to visit The Count's spooky castle. It's Elmo! Is he scared? Only for a second because soon he's having a howling good time as his Sesame Street friends stir up some spirited fun. Get ready for nonstop jokes, songs and spooky surprises with Telly, Baby Bear, Bert and Ernie. Elmo Says Boo! is sure to make you shriek — with laughter.",6.7,3,0.284,en
128820,Play Dead,2011-04-23,"A zombie apocalypse unites a ragtag pack of dogs in the ruined streets of Miami. Immune to the epidemic, they must stick together to survive in the midst of ferocious undead and human survivors. Sit. Stay. Play dead.",5.7,3,0.3659,en
1992,Planet Terror,2007-04-06,"Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry Darling, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend El Wray lead a team of accidental warriors into the night.",6.679,3574,3.3567,en
576300,Asi mit Niwoh,2019-02-07,"He went on a bender with Motörhead’s Lemmy and spend some night in jail. He was a street musician, a working class hero, a thug, a fairy and most of all a rebel – Jürgen Zeltinger is a Cologne icon. With his band he covered Lou Reed and the Ramones in the Kölsch dialect in the 80s, and his social justice anthems against the rich and powerful and for the little man are being bellowed by rowdy crowds to this day. Documentary filmmaker Oliver Schwabe accompanies the now elder statesman of Rock on tour, digs up old live footage and interviews friends and colleagues like musician Wolfgang Niedecken and actor Heiner Lauterbach. So emerges the fascinating story of the stout, bald street kid with the short fuse who would go on to influence a whole generation.",6.0,4,0.1053,de
474935,Buried Alive,2008-09-30,"When 5 students suddenly go missing, it's up to Melanie and her web-posts to track down the kidnapper before they run out of time.",4.7,7,0.3849,en
457910,Another You,2017-05-15,"ANOTHER YOU focuses on the young and ambitious science major Sydney Jameson who finds love and refuses to let it go at all costs. What starts as an ordinary relationship with her boyfriend Marcus slowly becomes a fixation that takes Sydney into the darkest depths of despair. Driven by obsession, Sydney loses herself in a scientific break through, finding a way to use the theory of De Ja Vu to explore her past mistakes. How far would you go in the search for true love?",4.8,4,0.1681,en
595546,Great Expectations,2019-06-26,"The Aviron Bayonnais is a rugby team having a streak of bad luck. Even though they fight relentlessly, they keep losing. One day, though, things change. Everything seems to be possible again. But will the team be able to keep up the momentum? Delphine Gleize films this sports odyssey with humour and passion. She is the only woman in the locker room and the men talk to her as if she were one of them. Through her camera, getting close while keeping an observational distance, the filmmaker manages to capture elements that define and clarify male bonds and relationships.",6.2,4,0.0509,fr
191175,50 Nuts 2,2003-01-01,"You thought the first one was crazy, you ain't seen crap. Bigger hits, bigger tricks and bigger boobs! The parties are off the hook and the tops are off the Ho's. 50 Nuts isn't just a video, its a lifestyle. Grab a cold one, grab your nuts and get ready to laugh you?re butt off as 50 Nuts 2 takes you on the next 50cc adventure!",6.5,1,0.2202,en
401078,The History of The WWE Hardcore Championship,2016-09-06,"A look back at the 4 years of the most extreme WWE title of them all. Classic matches involving champions like Mick Foley, Hardcore Holly, and Rob Van Dam including classic moments with Crash Holly - it's all here, and it's all Hardcore!",10.0,2,0.2389,en
815426,Hasta que te conocí,2013-12-31,,5.0,1,0.0512,es
264649,The Fish & The Fly 4: Streamers,2010-10-04,"We are back with Morten Oeland on fishing trips in completely different environments. We fish in cold rivers, high altitude mountain lakes and salt water from the open coast.  It's about both streamers and surface flies. We see what food items streamers imitate, and we see the different techniques Morten uses when he fishes flies.  With underwater cameras, we see incredible footage of trout that hug the streamer, and we see the fish reactions to our flies - up close - underwater.  He's known for his innovative fly tying techniques that are both simple and effective. In tying the film, he shows exactly how he ties streamers and surface flies. Most flies are his own effective patterns.",6.5,1,0.0261,en
195369,Our Man in Jamaica,1965-09-04,The FBI sends agents to Jamaica to investigate arms smuggling to revolutionaries in Santo Domingo.,3.5,4,0.1134,en
147942,Kickboxer,1993-02-06,"While master Wong Fei Hung is away traveling, the impulsive Lau Zhai (Yuen Biao), an initiate into Wong's kung fu school, begins wandering town. He soon allies with police chief Panther in order to offer assistance in toppling an opium distribution ring.",5.0,6,0.574,cn
648156,Way Down Cellar,1968-01-07,"Three friends find a secret tunnel under the ruins of a church that leads them to the basement of a dilapidated house and, incidentally, a group of counterfeiters.",6.0,1,0.1389,en
221280,Tugboat Annie Sails Again,1940-10-26,Two rival tugboat captains compete for local business.,5.5,2,0.172,en
259574,Claire Berolina,1987-01-04,,7.0,1,0.0966,de
628450,Swiping Love,2019-10-31,"Rodrigo is quite sure about his ability to seduce all women, and he never stays with anyone. Love doesn’t exist to him. In this, his game, he has faced some diffcult catches, but not impossible ones. Now he will meet Sol, and she will break all the rules that he has made up.",5.9,16,0.1553,es
194280,Atatürk,1998-05-17,"Designed primarily for non-Turkish viewers, Tolda Örnek's documentary has a portentous narration by Sir Donald Sinden, focusing mostly on Atatürk's qualities as a leader as well as an inspiration to others. His shortcomings (drinking and smoking too much, as well as an inability to relate to his wife) are not overlooked, but Örnek suggests that they were chiefly due to his obsession with work. He had a lot to do in a very short time and achieved it.",4.7,5,0.1092,de
151052,The Silent Enemy,1930-08-02,"In the Canadian Northwest, the Chippewa tribe struggles to find food before the onset of winter.",6.7,10,0.0704,en
752628,Dente por Dente,2020-11-09,"A thriller set in São Paulo Brazil, about a private security agent who starts to dream of his teeth falling. Somehow those dreams might be related to a string of mysterious deaths around him. Tormented by his dreams he sets on a journey to investigate, his life, his memory and his subconscious.",4.7,5,0.1532,pt
52645,Manmadhan Ambu,2010-12-23,"Madhan is convinced that Ambu is unfaithful and refuses to pay detective Mannar when he reports otherwise. Wanting to make money to help a friend, Mannar cooks up stories about Ambu's infidelity.",5.4,16,0.1759,ta
229407,Puppy,2013-12-10,"A Minion, longing for a puppy, humorously tries to catch a dog, a squirrel, and even a ladybug, but none of his attempts succeed. Just as his hopes fade, a tiny UFO swoops down and abducts the ladybug. The Minion watches in fascination as the UFO, making adorable beeping noises, forms an unexpected bond with him, becoming his new ""puppy."" They share fun adventures, with the UFO using its space powers to entertain, playing music and enlarging snacks like cheese puffs and bananas.  One evening, the UFO puppy shows the Minion its home in the stars and expresses a longing to return. The Minion, determined to help, sends an email with their picture to the UFO's home planet, triggering a rescue party. Before leaving, the UFO uses its grow-ray to enlarge the ladybug into a puppy-sized companion. The Minion, surrounded by friends, joyfully accepts the new “puppy,” ready for more adventures together.",7.21,231,0.7417,en
179477,Billy Squier - Live in the Dark,1982-04-17,"This is your chance to relive Billy's legendary performance at the Santa Monica Civic Center. Digitally remastered from the original 24-track recording, and remixed in high resolution 24 bit 5.1 surround, this is the closest you'll get to being there!",8.0,1,0.0289,en
45920,Ollie Klublershturf vs. the Nazis,2010-09-14,"An off-the-wall comedy set around the dinner table. What at first glance seems like an awkward 'meet the parents' situation for Dade Klublershturf quickly turns into a game of cat and mouse between Nazis, his boy genius younger brother, Ollie, and a time machine (disguised as an Atari joy stick) the Nazis are trying to capture from him.",6.9,14,0.1037,en
160227,The Yum Yums: The Day Things Went Sour,1990-04-07,"It's almost opening day at Yum Yum Fun Park - but something terrible has happened! Those mean and yucky Sourpusses have set out to spoil the big day.  Come join the fun as those yummy-smelling Yums Yums meet scary sewer rats, trick a ferocious sewer gator and match wits with the Sourpusses. Will they be able to rescue their magic toolbox and complete repairs in time to make Yum Yum Fun Park... once again... the sweetest and most fantastic amusement park on earth?",5.0,2,0.3458,en
632965,Day Off,2001-05-03,Day Off is a crime movie starring Nick Cheung,2.0,1,0.1188,cn
849197,Ate O.G.,2021-08-06,"Ate, an aging household helper, struggles with the slow, dull, day-to-day depression of home quarantine in the midst of a nationwide lockdown. Her two teenage employers also struggle and cope in their own way, but seem to take out their negative feelings on her.  After running a series of stressful chores for them, Ate finds a familiar medicine that gives her an unexpected form of relief. Not only does it uplift her overall mood, but also finds a newfound connection with the teenagers at home.",4.0,1,0.0143,tl
469834,The Pilots,1935-04-24,"The daredevil pilot Sergei Belyaev takes a risk flying a plane which is not properly maintained and crashes dangerously, landing in hospital, his plane going up in smoke. The aviation student Galya Bystrova, having a crush with Belyaev, unfortunately tends to imitate him in the air. Later, heeding the advice of the wise headmaster Rogachev, they become experienced pilots. Bystrova is assigned to Pamir, and Rogachev, in love with her, is sent to Sakhalin.",4.6,7,0.169,ru
491223,Der Nebelmörder - Schatten über der Stadt,2000-02-09,,8.0,1,0.0338,de
999920,The Corsican Brothers,1985-02-05,In the 18th century were born two siamese brothers on Corsica who paradoxically carry different feelings of hate and reconciliation in their blood.,6.0,1,0.168,en
511078,Nigger,1990-11-25,"Nigger is a dark comedy about a young couple who are going to be parents. When the child comes, there's a surprise.",5.5,2,0.336,sv
125359,Kini & Adams,1997-05-10,"Kini and Adams are two friends leaving in a Zimbabwe village who dream of repairing an old broken car, and moving to the city and starting life over.",6.0,5,0.2189,en
686901,Seer Movie 7: Crazy Intelligence,2019-08-02,Chinese animated fantasy adventure film based on the online game of the same name.,5.0,1,0.1333,zh
56205,The Godfather Family: A Look Inside,1990-07-12,"A documentary on the making of the three Godfather films, with interviews and recollections from the film makers and cast. This feature also includes the original screen tests of some of the actors for ""The Godfather"" film, and some candid moments on the set of ""The Godfather: Part III.""",7.707,41,0.8012,en
70820,Lucky,2004-10-25,"Ever have one of those lifetimes where nothing seems to go right? Failing cartoon writer, Millard Mudd, has sunk deep into one. Living hermit-like and existing on a strict alcohol diet, Mudd's world has collapsed. But one day everything changes when a dog named Lucky enters his life. You see, what makes Lucky no ordinary dog is his ability to talk. And what makes Lucky invaluable is his ability to teach Mudd how to write again. But what makes Lucky dangerous is his ability to get inside Mudd's head and turn him into a serial killer.",4.7,8,0.2107,en
910571,Fair Play,2023-09-28,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel not only their recent engagement but their lives.",6.337,540,4.4011,en
411527,"Engenheiros do Hawaii: Filmes de Guerra, Canções de Amor",1993-08-15,,7.6,5,0.0,pt
95174,Frozen,2010-09-02,"A young 20-year-old-woman named Wing (Lan Wei) visits her grandfather's laboratory in Hong Kong. By accident, Wing opens a chamber and resurrects a woman about her age. Wing then discovers the woman awaken is her mother Gigi (Janice Man), who was cryogenically frozen shortly after becoming involved in a fatal car accident some 20 years ago. Gigi, on the other hand, must also come to grips with her daughter being the same age as her and also her favorite actor Leslie Cheung having long passed away.  The newly acquainted mother and daughter duo then set out to find Gigi's boyfriend Kit (Aarif Lee) who is also Wing's biological father. When they find Kit, they learn that he's not the same man as he was twenty years ago and, in fact, a middle-aged homeless man who lives under a bridge ...",4.5,2,0.5231,cn
789912,Venus,2021-01-15,"Iris, torn out of her idyllic digital world and uploaded into a stolen synthetic body by her grieving mother, must face her body's objectification and violent potential in a dark future.",5.3,3,0.1562,en
693598,Not Another Steen DVD,2015-06-01,"No one quite knew what to expect when Kevin Steen made his PWG debut in 2004, but looking back on it now it's pretty clear: the future of professional wrestling. Not Another Steen DVD is a compilation that follows Kevin's journey from the early days of his independent career all the way to the end.",10.0,1,0.2705,en
246491,Her Jungle Love,1938-04-15,"While searching the South Pacific for a missing aviator, Bob Mitchell and Jimmy Wallace are caught in a typhoon and crack up on an island, escaping unharmed with the aid of Tura, a beautiful jungle girl who is the only inhabitant of the island and is believed a goddess by the natives of the adjoining islands. The three are about to leave the island on a make-shift raft when a gang of savage tribesman land, headed by Kuasa, a half-mad potentate who informs them that all whites are his mortal enemies because an Englishwoman once spurned his love and he got his revenge by stealing her daughter, who is Tura.",6.2,2,0.0925,en
165377,The Inside Story,1948-03-14,"A collection agent arrives in a small town with $1000 for a local farmer. Whilst waiting for the farmer to arrive the money is put in a safe at a hotel for safe keeping. However, it is removed by mistake and solves a number of financial problems before it is returned.",6.5,6,0.2434,en
47854,Legend of the Fist: The Return of Chen Zhen,2010-09-01,"The Japanese forces occupy Shanghai and slowly start spreading terror in the city. Chen Zhen, who was presumed dead, returns to fight against the Japanese and put an end to their tyrannical rule.",6.826,420,1.9742,cn
722791,Madeline,1988-11-07,"In a Parisian girls school, our perky, popular heroine charms her eleven classmates with funny pranks and youthful wit. But when Madeline needs her appendix out, it's she who needs charm and humor for a speedy recovery.",5.5,2,0.1614,en
369186,The 3 Postal Robbers,1998-12-18,Two rival children groups are trying to find a three postal robbers who kidnapped a young girl.,4.0,1,0.3103,de
123221,Cornouaille,2012-08-15,"A young woman inherits her family's historic home on the coast of Brittany, a house she has not been to since her father died there when she was age 12.",6.0,6,0.6377,fr
106426,It's Not My Business,1962-11-07,"A small-scale cabaret troupe is touring the provinces. One afternoon while canoeing, Monique Darzel, one of the troupe's singers, spots an angler whose resemblance to Fernand Raynaud strikes her. She discusses this with Jean Duroc, the troupe's director, who laments the meagre revenues his show is raking in. He then had the idea of meeting this fisherman to convince him to imitate Fernand Raynaud in his shows. It turns out that the Fernand Raynaud impersonator is in fact Fernand Raynaud himself, who has come for a week's incognito vacation in the provinces. Raynaud is finally persuaded to play the novice comedian, in order to further develop the script for his next film, Les cabotins à travers les âges.",4.0,2,0.0789,fr
30978,Distortion,2009-03-15,"Glavni junak je Piksi. Med počitnicami v kleti najde bratove kasete in tri dni posluša posnetke rocka, kar mu spremeni življenje. Odloči se, da bo ustanovil svoj punk rock bend. V njem so Piksi (električna kitara), Pejo (bas kitara), Sani (bobni) in Edi (vokal). Najprej so se imenovali Avtsajders, nato pa Ilegalci. Njihov idol pa je Johny Thunders. Piksi ima očeta, ki ves čas poležava pred televi",6.0,1,0.0382,sl
201147,Betty Boop and Little Jimmy,1936-03-27,"Betty tries a regime of exercise, but her weight loss gets out of hand. She sings ""Keep Your Girlish Figure"".",5.167,6,0.0671,en
261684,This Side of Heaven,1934-02-02,A family man becomes innocently involved in an embezzlement.,7.0,5,0.1435,en
786995,Cinderella,2018-12-31,"Sergei Prokofiev's setting of the fairy tale ""Cinderella"" premiered at Moscow's Bolshoi Theater in 1945. In 1986, Rudolf Nureyev, then ballet director of the Paris Opera, choreographed the ballet anew and transposed the story into a private cinema, with sets reminiscent of Fritz Lang's ""Metropolis."" ARTE shows the Paris Opera performance from December 31, 2018.",7.0,2,0.1844,fr
358818,1001 Ways to Love,1968-04-26,A seasoned lady-killer introduces a series of Decameronic vignettes about men's resourcefulness in seducing women and the price some of them have to pay for it.,5.0,3,0.0796,fr
864796,Thorp,2020-10-23,"After fleeing Earth in the late 80s, an alien returns to his childhood home in search of his best friend. As he gets closer to finding her, his mysterious past gets closer to catching him.",6.0,6,0.2616,en
472932,Silent Screamplay II,2006-01-01,Royce Dudley's directing style in this film brings back the old campy style films of the past. He doesn't rely on special effects or flashbacks to move the film along. Elina Madison & Chris Blacksmith carry this movie all the way to the end. Chris brings unexpected comedy laughter to the screen. Elina with over 40 movies to her credit delivers a solid professional performance. Watch after credits!,2.0,1,0.2068,en
765803,Cockpera,2020-07-20,A short opera inspired by Aesop's fable The Fighting Cocks and the Eagle.,6.3,3,0.0261,hr
13629,UFC 53: Heavy Hitters,2005-06-04,"UFC 53: Heavy Hitters was a mixed martial arts event held by the Ultimate Fighting Championship on June 4, 2005, at the Boardwalk Hall in Atlantic City, New Jersey. Andrei Arlovski puts his interim Heavyweight Championship on the line against Justin Eilers. The undercard features a rematch for the UFC Middleweight Championship as Champion Evan Tanner defends this title against Rich Franklin. Other featured fighters include top ranked Forrest Griffin, Paul Buentello, Nate Quarry, David Loiseau, Nick Diaz and more.",6.1,4,0.121,en
404263,Abraham,2015-10-16,"Abraham, a dedicated husband and father, struggles to provide for his young wife, Katie, and their four-year-old daughter. But, through his creative determination, he finds patronage in Jong Jans and Jong's wife, Almeri. Abraham and Katie settle into their new home, working for Jong and Almeri, but Katie's battles with mental illness and alcoholism rock the boat. Abraham staunchly supports his wife, but his own ambitions as an artist make him restless. Abraham is a dreamer who wishes to rise above his station in life and make his mark on the world, but the realities of his circumstances get in the way of happiness. In Afrikaans language with English subtitles.",5.0,1,0.1944,af
193874,The Little Girl Next Door,1912-11-01,"Helen Randall and Ruth Foster were little tots. The two children lived side by side on one of the fashionable streets in New York City. One day Helen and her parents were starting for the park when the little one suggested that they invite Ruth to go with them. The idea pleased them all, and as to Ruth, she was in an ecstasy of delight. She skipped down the steps into the Randalls' automobile, and her father (a widower), watching her as the machine whizzed off, realized more than ever the little treasure he possessed.",4.2,2,0.0286,en
708378,WDD/CHL,2009-01-01,"This film came out of nowhere, and very early in its brief making became, for me, a crystallization of all the confusion and amazement I feel about the creative process. Poof, it’s there (and poof, it’s gone). (Mark Toscano)",8.5,2,0.0256,en
79135,Jason Manford: Live,2011-11-14,"From his smash-hit new show ‘Off On Tour We Go’, Jason’s new DVD is guaranteed to get you laughing, with hilarious tales ranging from shower mishaps and embarrassing stories to the phrases that people get wrong and dealing with nappies. Renowned for his hilarious observations and loveable, friendly delivery, Jason has been a firm favourite with comedy fans of all ages since his first solo stand-up show earned him huge critical acclaim. Jason Manford is now selling out huge arenas, including the Manchester MEN, where this show was filmed, and the London O2. Jason is making his mark as the master of observational comedy.",7.6,4,0.0453,en
600687,Dangerous Crossroads,1933-06-15,"A railroad detective is having a difficult time stopping or even slowing down a gang that is robbing the merchandise carried on the freight trains, with inside information. However, his son and his son's young friends notice something that helps the railway detective get on the right trail.",5.0,1,0.0,en
503037,Picasso: The Legacy,2014-01-23,"A never-before-seen portrait of the artist’s life through his entire body of work, from his sketches as a child prodigy until his final paintings.",6.8,4,0.0902,fr
681637,Believe It or Not (Second Series) #12,1932-07-09,"In Robert L. Ripley's absence, Leo Donnelly acts as the guide to the unusual from around the world. A group of people in the Philippines are moving a house, foundation and all, six miles, by carrying it on their backs. A one-armed boat builder demonstrates the water crafts he has devised for his disability. A junk in China propelled by treadmill propeller. Dwarf trees in Japan, some as old as 700 years. Also in Japan, chickens are shown with tail feathers measuring up to twenty-five feet in length. A sun dial in Manila is the world's largest at 30 feet in height and 65 feet in length. A group of church goers in Luxembourg are dancing as a ritual toward good health. Livestock with unusual physical attributes are shown. Tree limbs are displayed in Tacoma, Washington that form an alphabet. The world's largest collection of the smallest books. And celebrity footprints displayed outside of Grauman's Chinese Theater. Vitaphone No. 1427.",5.0,1,0.0143,en
918862,Čestné kolo,1989-07-23,,2.0,1,0.0764,cs
340134,Colors of Math,2013-02-19,"A documentary in which six influential mathematicians demonstrate the beauty of mathematics. It's sounds, colors, taste, texture, and balance are revealed through their eyes.",8.5,2,0.0143,ru
807840,El alacran de Durango,1998-12-31,,5.0,1,0.0071,es
359572,Tempo de Resistência,2003-10-29,,1.0,1,0.0286,pt
258090,Julian,2012-01-09,"In school, 9-year old Julian gets into trouble for squealing a bully and therefore disturbing class.",6.8,9,0.2959,en
54777,Chrome Angels,2009-06-06,"Welcome to Elliotsville. It’s like your typical American small town, except the residents are kinda robots. Okay, they’re not so much kinda, they’re pretty much robots. So what happens when you take that set-up and add a gang of sexy female bikers (cause if they were fat and ugly, it just wouldn’t be any fun) and some gun-toting redneck types (I know what you’re thinking: what, there are other types of rednecks?) into the mix?",3.75,12,0.6972,en
437726,Doctor Who: The Green Death,1973-06-23,The Doctor and UNIT investigate a deadly infection lurking underneath the Welsh mining town of Llanfairfach. It's an adventure that will change Jo Grant's life forever...,8.7,6,0.1364,en
86030,The Dizzy Acrobat,1943-05-20,"Woody Woodpecker visits the circus. Singing ""I Went to the Animal Fair,"" he strolls through a tiger's cage. As Woody looks at a rhinoceros, the nearby lion eats Woody's hot dog. Woody gets revenge by putting the lion's tail in the bun; the lion eats his own tail. Woody next tries to sneak into the main tent, and the run-ins with the guard take up the rest of the cartoon. First, the guard tells Woody he can work for his admission by watering an elephant, but he's not pleased when Woody ties the elephant's trunk to a hydrant. The chase is on, leading into the lion tamer's cage, onto the trapeze, and bicycling across the tightrope. Both Woody and the guard end up as targets in the shooting gallery.",5.875,16,0.1118,en
443836,Scorpions ‎- Return To Forever - Tour Edition,2016-03-11,,9.0,1,0.0,fr
256977,Robot Contest,2003-09-13,"Satomi is not putting much effort into her school work. She is told by her instructor that she is short of the minimum number of credits to advance. One option is for her to participate in the Robot Club, which is participating in a robot contest that is a single-elimination challenge. Satomi and the club begin working to rise to the top.",5.4,5,0.3148,ja
837953,"Hair, Love and Racism",2020-11-26,"Karen grew up heavily influenced by her right-wing family. Her whole life she thought people were treated equally regardless of race. Her new home, city, and boyfriend show her a different reality.",2.0,1,0.1384,en
10398,Double Jeopardy,1999-09-24,"Libby Parsons, wrongly convicted for her husband Nick's murder, thinks he is still alive and wants to settle the score and find their son. As she has been tried for the crime, she cannot be re-prosecuted if she finds and kills Nick.",6.602,1365,5.2622,en
390384,Panay,2015-07-04,"Panay worked in the city as a journalist. One day, she found her tribe had been overdeveloped and changed by tourism. They were losing their land and their culture, so she decided to return home to bring back the abandon terrace. In this process, she found it's not only about the land, but also about who she really is.",6.6,9,0.2308,zh
198657,Tulips of Haarlem,1970-06-07,"Two teenagers looking for love find each other in this tragic and cruel story of romance, co-dependence and psychological torment. Pierre (Frank Grimes) is the French boy who saves the British girl Sarah (Carole Andre) from suicide. Despondent over a broken affair, Sarah soon becomes fond of Pierre and agrees to stay with him. The twisted girl puts him through a series of humiliations before she intentionally blinds him so he will never leave her.",5.7,3,0.1219,it
292900,Resilience,2006-12-15,An average man finds himself in a position to prevent the murder of a family member -- the unnerving descent of a man caught between resilience and ruthlessness.,4.8,4,0.0725,en
46408,Money Hai Toh Honey Hai,2008-07-25,"Manikchand Khiralal is a struggling model who gets kicked out by his mentor, Dolly, when she finds another boyfriend; Lalabhai Bharodia has no business acumen, and has lost millions; Shruti is a much abused and underpaid designer; Gaurav Negi gets fired from his job with Glamour Ad Agency; Ashima Kapoor...",4.2,5,0.2944,hi
170895,Cupid,2012-09-30,"With Valentine’s Day approaching, Eve Lovett, a workaholic TV talk show host with a string of failed relationships, is worried she will never find true love. But when a mysterious stranger named Vernon Gart shows up on the set claiming to work for Cupid, Inc., Eve has no idea her love life is about to get an arrow right through the heart.",5.5,18,0.662,en
28914,Repeat Performance,1947-05-22,"On New Year's Eve 1946, Sheila Page kills her husband Barney. She wishes that she could relive 1946 and avoid the mistakes that she made throughout the year. Her wish comes true but cheating fate proves more difficult than she anticipated.",6.1,34,0.3175,en
499101,Omniscient Optics,,A teen girl tries to piece together her life.,2.0,1,0.0218,en
278689,Earth Angels,2001-03-01,"Earth Angels is a television show that first aired on March 1, 2001. It was written by Toni Graphia and Anne Rice. Bronwen Hughes directed the show. The show was about the battle between good and bad angels that were living on Earth. Nicholas Lea starred in the show as Maximillian. The show was created by NBC and unfortunately, was not picked up to run as a full series. The last air date for Earth Angels was April 1, 2001.",4.0,1,0.2835,en
119500,Tom & Jerrys Mad-Kamp,2015-12-02,,5.5,1,0.0143,da
44595,An Uneventful Story,1983-09-12,"A well-known professor of medicine finding himself at the threshold of autumn of his life, takes stock of his achievements and experiences. ""In the end it ends with what has been known for a long time: that conscious life without a fixed worldview is not life, but torment, horror. - wrote Anton Chekhov in one of his letters summarizing ""An Uninteresting Story"". The protagonist, Professor Nikolai Stepanovich, is a character characteristic of Chekhov's entire oeuvre - a Russian intellectual from the late nineteenth century, depressed by boredom and a sense of his own uselessness and the meaninglessness of his existence.",6.0,8,0.2863,pl
315452,The Beautiful Ghost's Grievance,1959-03-25,This Movie is in Chinese without subtitles so it's hard to give a full description.  Famous for being a film from 1959 with a scene depicting hopping vampires.,8.0,1,0.0629,cn
881058,Escaping Captivity: The Kara Robinson Story,2021-09-26,"Kara Robinson Chamberlain recounts in vivid detail being taken at gun point from a friend’s front yard. Forced into in a cramped, dark storage container in her captor’s car, Kara instantly knew her life was in grave danger. In a moment she describes as a divine intervention, the 15-year-old realized she had to be her own victor and take her life back; she had to escape.",7.3,10,0.1805,en
69168,Stella: Live in Boston,2009-08-13,The comedy trio performs live in Boston.,5.2,4,0.137,en
